claim.ind0,claim.ind1,ni.genderF,ni.genderM,ni.marital.status0,ni.marital.status1,sales.channelBroker,sales.channelOnline,sales.channelPhone,coverage.typeA,coverage.typeB,coverage.typeC,city.catArizona,city.catcolorado,city.catIowa,city.catpenni,city.catVirginia,city.catWashington,premium,n.children.cat,n.adults.cat,tenure.con,ni.age.con,len.at.res.con,credit.con,year.con,cancel
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.057390609,0.907220996,0.746217434,0.864458117,1.431492746,1.686960848,-1.908482004,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0.907741934,-0.895968736,-0.095268975,-1.503384802,-1.889908936,-1.40353026,-1.908482004,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.234599324,-0.895968736,-0.936755384,0.526194843,0.957006792,0.5631459,-1.908482004,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1.278173904,0.306157752,-0.936755384,0.187931569,0.482520837,-1.40353026,0.721116802,-1.573329341,0
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0.921802983,-0.294905492,-0.936755384,1.033589754,-0.466451072,-1.40353026,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.227593695,-0.294905492,-0.936755384,0.526194843,0.482520837,-0.279715311,-0.593682601,-1.573329341,0
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1.251474719,2.109347484,0.746217434,0.526194843,1.431492746,-0.841622786,-1.908482004,-1.573329341,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,-0.46748674,-0.294905492,-0.936755384,-1.672516439,-0.940937027,0.844099637,0.721116802,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.157936953,-0.294905492,-0.936755384,-1.165121528,-1.415422981,0.282192163,0.721116802,-1.573329341,1
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-1.208224166,-0.895968736,-0.095268975,0.526194843,-0.466451072,-0.560669049,-1.908482004,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,-1.689306893,0.306157752,-0.095268975,-0.150331705,0.957006792,1.125053374,-0.593682601,-1.573329341,1
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.726763389,-0.294905492,-0.936755384,1.033589754,0.957006792,1.967914585,0.721116802,-1.573329341,0
1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1.763201725,-0.895968736,-0.936755384,0.526194843,1.431492746,1.686960848,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-2.545399666,1.50828424,1.587703842,0.526194843,0.482520837,1.125053374,0.721116802,-1.573329341,1
1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-0.039695786,2.109347484,-0.936755384,0.69532648,-0.466451072,0.282192163,0.721116802,-1.573329341,0
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0.327788137,-0.895968736,-0.095268975,-0.150331705,0.482520837,0.844099637,0.721116802,-1.573329341,0
1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0.512175288,-0.294905492,0.746217434,0.526194843,-0.466451072,-1.40353026,-0.593682601,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-1.35421067,-0.294905492,0.746217434,0.187931569,-0.940937027,-1.684483997,-1.908482004,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1.989449157,-0.895968736,-0.936755384,-0.150331705,-0.466451072,-1.684483997,-1.908482004,-1.573329341,1
1,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0.057642146,-0.895968736,-0.936755384,-0.826858254,-1.415422981,1.686960848,-0.593682601,-1.573329341,0
0,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,-0.596021889,-0.895968736,0.746217434,1.540984666,0.008034882,-0.841622786,0.721116802,-1.573329341,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,-0.364015613,1.50828424,-0.095268975,0.69532648,0.482520837,-0.841622786,-1.908482004,-1.573329341,1
1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,-2.539108816,-0.895968736,-0.095268975,-0.150331705,0.957006792,-0.841622786,-1.908482004,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,-0.486479094,0.306157752,-0.095268975,-0.826858254,-0.940937027,-1.40353026,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,-0.293450132,-0.895968736,-0.095268975,0.018799932,0.957006792,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,2.643134032,1.50828424,-0.095268975,-1.672516439,-0.940937027,0.001238426,0.721116802,-1.573329341,0
0,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,-1.406275359,-0.895968736,-0.095268975,1.202721391,0.008034882,0.5631459,0.721116802,-1.573329341,0
0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0.55536596,-0.895968736,-0.095268975,1.033589754,0.008034882,-0.560669049,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0.14866632,-0.294905492,-0.095268975,1.033589754,1.905978701,-0.841622786,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,-0.410243399,-0.294905492,-0.936755384,0.357063206,0.008034882,-0.841622786,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,-2.720140415,0.306157752,-0.936755384,-0.150331705,0.008034882,-1.684483997,0.721116802,-1.573329341,1
1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,-1.030736522,0.306157752,-0.936755384,0.018799932,0.008034882,1.406007111,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.546545984,-0.895968736,-0.095268975,-1.672516439,-1.415422981,0.282192163,-0.593682601,-1.573329341,0
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.087022309,0.907220996,0.746217434,-1.334253165,-0.940937027,0.001238426,-0.593682601,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,-1.2699631,0.306157752,0.746217434,-0.995989891,-1.415422981,0.5631459,0.721116802,-1.573329341,1
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-1.315715502,2.109347484,-0.095268975,0.69532648,1.905978701,-0.560669049,0.721116802,-1.573329341,0
0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.343108894,-0.895968736,-0.936755384,-1.334253165,-0.466451072,-0.560669049,-1.908482004,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-0.404464509,1.50828424,0.746217434,-0.319463343,0.008034882,0.282192163,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.879159651,1.50828424,-0.936755384,0.357063206,0.957006792,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.811927177,0.907220996,-0.936755384,1.540984666,1.905978701,1.967914585,0.721116802,-1.573329341,0
0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.252678477,0.306157752,-0.095268975,-2.010779714,-1.415422981,0.844099637,0.721116802,-1.573329341,0
0,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1.076695317,-0.895968736,-0.936755384,-0.150331705,0.482520837,-1.40353026,-1.908482004,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.42887543,-0.895968736,0.746217434,0.357063206,0.482520837,0.001238426,-0.593682601,-1.573329341,1
1,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,-0.787436526,-0.895968736,-0.936755384,-1.165121528,-0.940937027,0.282192163,-1.908482004,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0.168471478,-0.895968736,0.746217434,-1.334253165,-0.940937027,-1.684483997,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.777161378,0.907220996,-0.936755384,0.357063206,0.482520837,0.001238426,-0.593682601,-1.573329341,1
0,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1.105018241,-0.895968736,-0.936755384,-1.503384802,-1.889908936,-1.122576523,-1.908482004,-1.573329341,1
1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,-0.085385592,-0.895968736,0.746217434,0.69532648,1.431492746,-1.684483997,0.721116802,-1.573329341,0
1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0.468465516,-0.294905492,0.746217434,-1.165121528,-0.940937027,-1.40353026,-0.593682601,-1.573329341,0
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0.506174019,-0.294905492,1.587703842,0.526194843,0.008034882,0.001238426,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0.619304756,-0.895968736,0.746217434,-1.165121528,-1.889908936,0.5631459,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1.117295057,-0.294905492,2.429190251,0.357063206,0.008034882,1.686960848,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,-0.264960167,1.50828424,0.746217434,-0.48859498,-1.415422981,-0.279715311,-1.908482004,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.165432532,2.109347484,-0.936755384,1.033589754,0.957006792,-1.684483997,-1.908482004,-1.573329341,1
1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0.776433992,-0.895968736,-0.095268975,0.69532648,0.957006792,0.282192163,0.721116802,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1.381092647,0.907220996,-0.936755384,-1.503384802,-0.940937027,0.001238426,-0.593682601,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.77756326,-0.895968736,-0.936755384,-1.334253165,-1.415422981,-1.122576523,-0.593682601,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.56118259,-0.895968736,-0.936755384,0.018799932,0.482520837,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,-1.982228386,0.306157752,-0.095268975,0.526194843,0.008034882,0.5631459,0.721116802,-1.573329341,0
0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1.896551222,-0.294905492,0.746217434,-2.010779714,-0.466451072,-0.279715311,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,-1.149838462,-0.294905492,0.746217434,-0.826858254,0.957006792,1.686960848,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,-1.045958163,-0.895968736,1.587703842,-0.995989891,-1.415422981,-1.122576523,0.721116802,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.778031088,2.109347484,-0.936755384,-2.010779714,-0.466451072,0.282192163,0.721116802,-1.573329341,1
1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0.294248173,0.306157752,0.746217434,1.033589754,0.008034882,0.282192163,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,-0.247295786,1.50828424,-0.936755384,0.69532648,0.482520837,1.406007111,0.721116802,-1.573329341,0
1,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.657750366,0.306157752,0.746217434,-1.672516439,-0.940937027,-0.841622786,-1.908482004,-1.573329341,1
1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,-0.207511441,-0.294905492,2.429190251,-1.503384802,-0.940937027,1.686960848,-1.908482004,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-0.995148187,-0.895968736,-0.936755384,-0.150331705,0.482520837,1.125053374,0.721116802,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1.117277787,-0.895968736,-0.936755384,0.018799932,0.482520837,0.5631459,-0.593682601,-1.573329341,0
1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.944045568,0.306157752,-0.095268975,0.526194843,-0.466451072,1.686960848,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,-0.37672463,-0.895968736,-0.095268975,0.864458117,0.008034882,0.282192163,-1.908482004,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.997267387,-0.294905492,-0.936755384,-1.334253165,-1.415422981,-1.40353026,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,-0.281135165,2.109347484,-0.095268975,-0.48859498,0.008034882,-0.279715311,0.721116802,-1.573329341,0
1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,-0.349249819,-0.895968736,1.587703842,1.033589754,0.008034882,-0.560669049,-0.593682601,-1.573329341,0
0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1.407577103,-0.294905492,-0.936755384,0.69532648,1.431492746,1.686960848,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.309627655,-0.294905492,0.746217434,-1.334253165,-0.466451072,0.001238426,-0.593682601,-1.573329341,1
0,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,-0.408028332,0.306157752,0.746217434,0.018799932,0.957006792,-0.279715311,-1.908482004,-1.573329341,1
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,-0.1164338,-0.895968736,-0.095268975,-0.48859498,0.482520837,-0.279715311,-0.593682601,-1.573329341,0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,-1.645356399,-0.895968736,0.746217434,-1.672516439,-0.466451072,-1.684483997,-0.593682601,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0.034440664,1.50828424,-0.936755384,-1.503384802,-1.889908936,-1.40353026,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,-0.193095119,-0.294905492,-0.936755384,-2.010779714,-1.889908936,-0.279715311,0.721116802,-1.573329341,1
0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0.114741865,-0.895968736,-0.936755384,0.187931569,0.008034882,0.001238426,0.721116802,-1.573329341,0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-1.587894425,-0.895968736,1.587703842,-0.48859498,-1.415422981,1.125053374,-0.593682601,-1.573329341,1
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0.938475149,-0.294905492,-0.095268975,1.033589754,0.957006792,-0.560669049,0.721116802,-1.573329341,0
0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1.03603461,-0.895968736,-0.095268975,-1.334253165,-0.940937027,-0.279715311,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,-1.570022002,-0.895968736,-0.095268975,-0.995989891,-1.415422981,0.844099637,-1.908482004,-1.573329341,1
1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1.691462221,0.907220996,-0.936755384,-1.672516439,-1.415422981,0.001238426,0.721116802,-1.573329341,0
1,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,-0.580044546,-0.895968736,0.746217434,0.69532648,-0.466451072,0.844099637,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0.84835539,-0.895968736,1.587703842,0.018799932,0.482520837,0.282192163,-0.593682601,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,-1.042097961,-0.895968736,-0.095268975,-1.503384802,-1.889908936,-1.40353026,-1.908482004,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-1.058217156,-0.294905492,1.587703842,-0.48859498,0.008034882,-0.279715311,0.721116802,-1.573329341,0
0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0.864149612,1.50828424,-0.936755384,0.526194843,0.957006792,1.406007111,0.721116802,-1.573329341,0
0,1,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,-1.231210927,-0.294905492,0.746217434,0.357063206,0.008034882,-1.40353026,-1.908482004,-1.573329341,0
1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,-0.91745863,-0.895968736,-0.936755384,0.526194843,1.431492746,1.686960848,-0.593682601,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,-1.619084097,-0.294905492,-0.936755384,-0.150331705,0.008034882,-1.40353026,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1.125600058,-0.294905492,-0.936755384,0.69532648,1.431492746,-0.560669049,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,-0.403007218,-0.294905492,1.587703842,1.371853028,0.482520837,-0.279715311,0.721116802,-1.573329341,0
1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0.10585238,-0.895968736,-0.936755384,1.033589754,0.957006792,-1.40353026,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1.754604187,2.109347484,-0.095268975,0.357063206,-0.466451072,0.844099637,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,-0.983314569,0.907220996,-0.936755384,0.018799932,1.431492746,1.686960848,-0.593682601,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,-1.482778562,-0.895968736,-0.936755384,0.864458117,0.957006792,-0.560669049,0.721116802,-1.573329341,0
0,1,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,-0.891206121,-0.895968736,2.429190251,0.864458117,-0.466451072,0.844099637,-1.908482004,-1.573329341,1
1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-0.576688323,-0.895968736,-0.095268975,0.018799932,-0.466451072,-1.684483997,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1.083896598,-0.294905492,-0.936755384,-0.826858254,0.008034882,-0.560669049,-0.593682601,-1.573329341,1
1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,-0.45086035,2.109347484,-0.936755384,0.018799932,1.431492746,-1.684483997,0.721116802,-1.573329341,1
1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1.239750074,-0.294905492,-0.936755384,-2.010779714,-1.889908936,-1.684483997,-0.593682601,-1.573329341,1
1,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,-0.628718269,-0.895968736,-0.936755384,-0.657726617,-0.940937027,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0.729938674,0.306157752,-0.936755384,-1.672516439,-1.889908936,0.001238426,-0.593682601,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,-1.703776786,0.306157752,-0.095268975,0.69532648,0.957006792,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0.596368809,0.907220996,-0.095268975,0.018799932,0.957006792,-0.560669049,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.305455275,-0.294905492,-0.936755384,-0.150331705,0.008034882,1.686960848,0.721116802,-1.573329341,0
0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0.135774951,-0.895968736,0.746217434,-0.995989891,-0.466451072,1.406007111,-1.908482004,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0.387027941,0.306157752,2.429190251,1.202721391,0.957006792,1.406007111,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1.11754529,0.907220996,0.746217434,-0.48859498,0.482520837,-0.279715311,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0.766379456,1.50828424,-0.095268975,0.187931569,1.431492746,-0.560669049,0.721116802,-1.573329341,0
0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0.361133237,-0.895968736,1.587703842,0.69532648,0.008034882,-1.40353026,0.721116802,-1.573329341,0
0,1,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,-0.93675228,-0.895968736,-0.936755384,0.864458117,-0.466451072,-0.279715311,0.721116802,-1.573329341,1
1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0.554254606,-0.294905492,-0.936755384,1.202721391,0.008034882,1.967914585,0.721116802,-1.573329341,0
1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1.676716958,0.306157752,1.587703842,-0.826858254,-1.415422981,-0.279715311,-0.593682601,-1.573329341,0
0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,-0.631349641,-0.895968736,-0.936755384,-1.334253165,-1.415422981,-1.684483997,-0.593682601,-1.573329341,1
0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,-0.277227201,0.907220996,0.746217434,-1.672516439,-1.889908936,-0.841622786,-0.593682601,-1.573329341,1
1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1.814723386,-0.294905492,0.746217434,0.357063206,1.905978701,1.686960848,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0.360894244,-0.294905492,-0.095268975,0.187931569,0.482520837,-0.279715311,-1.908482004,-1.573329341,0
1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.805330479,-0.895968736,2.429190251,-0.995989891,-0.466451072,0.282192163,0.721116802,-1.573329341,0
1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,-0.312555775,-0.895968736,-0.095268975,-1.672516439,-0.940937027,0.282192163,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1.233013054,0.907220996,-0.936755384,0.187931569,1.905978701,1.967914585,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0.174385677,-0.294905492,0.746217434,-0.319463343,0.957006792,-1.684483997,0.721116802,-1.573329341,0
0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-0.854820528,0.306157752,-0.095268975,0.187931569,0.957006792,-0.560669049,-0.593682601,-1.573329341,0
1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1.817887134,-0.895968736,-0.936755384,0.357063206,0.008034882,-0.560669049,-1.908482004,-1.573329341,0
1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1.041421164,-0.895968736,-0.936755384,0.526194843,1.431492746,-1.40353026,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1.809711396,-0.895968736,0.746217434,-0.657726617,-0.940937027,0.5631459,0.721116802,-1.573329341,0
1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,-1.079830846,1.50828424,-0.936755384,-0.826858254,0.008034882,-0.560669049,0.721116802,-1.573329341,0
1,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0.597257509,-0.294905492,0.746217434,-2.010779714,-0.466451072,1.686960848,-1.908482004,-1.573329341,0
1,0,1,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,-0.320839804,-0.895968736,-0.936755384,-1.672516439,-0.940937027,-0.279715311,-0.593682601,-1.573329341,0
1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1.60370467,0.306157752,-0.095268975,0.187931569,-0.466451072,1.406007111,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0.1795446,-0.895968736,-0.936755384,-0.657726617,0.957006792,-0.560669049,0.721116802,-1.573329341,0
1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,-0.15223104,-0.895968736,1.587703842,-1.334253165,-0.940937027,0.5631459,0.721116802,-1.573329341,0
1,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,-1.560408515,-0.895968736,-0.936755384,-0.150331705,0.008034882,0.5631459,0.721116802,-1.573329341,0
1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,-0.948414883,-0.895968736,0.746217434,-0.150331705,-0.466451072,-0.560669049,0.721116802,-1.573329341,0
